step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
0,0.0,-3.6582031409000204,-3.6582031409000204,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,0.49999999999999994,-3.658329430082131,-3.658329430082131,-0.0001262891821105505,-0.0001262891821105505,0.0,0.0,0.0,0.0,0,0
20,1.0000000000000002,-3.6585850159012754,-3.6585850159012754,-0.0003818750012549721,-0.0003818750012549721,0.0,0.0,0.0,0.0,0,0
30,1.5000000000000007,-3.6582991526279427,-3.6582991526279427,-9.601172792228496e-05,-9.601172792228496e-05,0.0,0.0,0.0,0.0,0,0
40,2.000000000000001,-3.6582819472470143,-3.6582819472470143,-7.88063469938649e-05,-7.88063469938649e-05,0.0,0.0,0.0,0.0,0,0
50,2.499999999999999,-3.6582623093864304,-3.6582623093864304,-5.916848640996619e-05,-5.916848640996619e-05,0.0,0.0,0.0,0.0,0,0
60,2.9999999999999973,-3.6582476364050507,-3.6582476364050507,-4.449550503027311e-05,-4.449550503027311e-05,0.0,0.0,0.0,0.0,0,0
70,3.4999999999999956,-3.658244550420134,-3.658244550420134,-4.140952011377763e-05,-4.140952011377763e-05,0.0,0.0,0.0,0.0,0,0
80,3.999999999999994,-3.658254542131141,-3.658254542131141,-5.140123112079564e-05,-5.140123112079564e-05,0.0,0.0,0.0,0.0,0,0
90,4.499999999999992,-3.658272903879182,-3.658272903879182,-6.976297916150287e-05,-6.976297916150287e-05,0.0,0.0,0.0,0.0,0,0
100,4.99999999999999,-3.6582919977893784,-3.6582919977893784,-8.885688935800218e-05,-8.885688935800218e-05,0.0,0.0,0.0,0.0,0,0
110,5.4999999999999885,-3.6586121358581174,-3.6586121358581174,-0.0004089949580969865,-0.0004089949580969865,0.0,0.0,0.0,0.0,0,0
120,5.999999999999987,-3.658425523856997,-3.658425523856997,-0.00022238295697674104,-0.00022238295697674104,0.0,0.0,0.0,0.0,0,0
130,6.499999999999985,-3.658206759008365,-3.658206759008365,-3.618108344483062e-06,-3.618108344483062e-06,0.0,0.0,0.0,0.0,0,0
140,6.999999999999983,-3.658215509719548,-3.658215509719548,-1.2368819527708297e-05,-1.2368819527708297e-05,0.0,0.0,0.0,0.0,0,0
150,7.499999999999981,-3.6584445651451505,-3.6584445651451505,-0.000241424245130073,-0.000241424245130073,0.0,0.0,0.0,0.0,0,0
160,7.99999999999998,-3.6586126667640633,-3.6586126667640633,-0.00040952586404285896,-0.00040952586404285896,0.0,0.0,0.0,0.0,0,0
170,8.499999999999986,-3.6583132453067133,-3.6583132453067133,-0.00011010440669290134,-0.00011010440669290134,0.0,0.0,0.0,0.0,0,0
180,8.999999999999993,-3.6582939688943124,-3.6582939688943124,-9.08279942919421e-05,-9.08279942919421e-05,0.0,0.0,0.0,0.0,0,0
190,9.5,-3.658275946869929,-3.658275946869929,-7.280596990844046e-05,-7.280596990844046e-05,0.0,0.0,0.0,0.0,0,0
200,10.000000000000007,-3.6582667691998507,-3.6582667691998507,-6.362829983030949e-05,-6.362829983030949e-05,0.0,0.0,0.0,0.0,0,0
210,10.500000000000014,-3.658270780474769,-3.658270780474769,-6.763957474875681e-05,-6.763957474875681e-05,0.0,0.0,0.0,0.0,0,0
220,11.000000000000021,-3.658286046204328,-3.658286046204328,-8.290530430743459e-05,-8.290530430743459e-05,0.0,0.0,0.0,0.0,0,0
230,11.500000000000028,-3.6583057345012824,-3.6583057345012824,-0.00010259360126196881,-0.00010259360126196881,0.0,0.0,0.0,0.0,0,0
240,12.000000000000036,-3.6584816581808117,-3.6584816581808117,-0.00027851728079131277,-0.00027851728079131277,0.0,0.0,0.0,0.0,0,0
250,12.500000000000043,-3.658577066417332,-3.658577066417332,-0.0003739255173114131,-0.0003739255173114131,0.0,0.0,0.0,0.0,0,0
260,13.00000000000005,-3.6583195831202038,-3.6583195831202038,-0.00011644222018336592,-0.00011644222018336592,0.0,0.0,0.0,0.0,0,0
270,13.500000000000057,-3.658209674422036,-3.658209674422036,-6.533522015406135e-06,-6.533522015406135e-06,0.0,0.0,0.0,0.0,0,0
280,14.000000000000064,-3.658347358932283,-3.658347358932283,-0.00014421803226261076,-0.00014421803226261076,0.0,0.0,0.0,0.0,0,0
290,14.500000000000071,-3.6586002950420085,-3.6586002950420085,-0.0003971541419880431,-0.0003971541419880431,0.0,0.0,0.0,0.0,0,0
300,15.000000000000078,-3.658288514143333,-3.658288514143333,-8.5373243312592e-05,-8.5373243312592e-05,0.0,0.0,0.0,0.0,0,0
310,15.500000000000085,-3.6582710555483944,-3.6582710555483944,-6.791464837396788e-05,-6.791464837396788e-05,0.0,0.0,0.0,0.0,0,0
320,16.000000000000092,-3.6582514747099695,-3.6582514747099695,-4.833380994906378e-05,-4.833380994906378e-05,0.0,0.0,0.0,0.0,0,0
330,16.5000000000001,-3.658237238850754,-3.658237238850754,-3.409795073361366e-05,-3.409795073361366e-05,0.0,0.0,0.0,0.0,0,0
