step,time_fs,potential_eV,kinetic_eV,total_eV,energy_drift_eV,component_count,largest_component_edges,capped_steps,rebuild_count
0,0.0,-5.037634138848642,3.969903167999999e-05,-5.037594439816962,0.0,2,2,0,1
10,0.49999999999999994,-5.559331031467582,0.5217156467199044,-5.037615384747677,-2.094493071513881e-05,2,2,0,1
20,1.0000000000000002,-6.985320294657823,1.9472217074253153,-5.038098587232508,-0.0005041474155458303,2,2,0,1
30,1.5000000000000007,-8.10669442418569,3.0672389668710554,-5.039455457314634,-0.0018610174976725347,2,2,0,1
40,2.000000000000001,-7.65909140684368,2.621844042873498,-5.037247363970182,0.000347075846780065,2,2,0,1
50,2.499999999999999,-6.859629149031748,1.8224451873709202,-5.037183961660828,0.00041047815613382,2,2,0,1
60,2.9999999999999973,-5.9737884353546225,0.9367793693760915,-5.0370090659785305,0.00058537383843138,2,2,0,2
70,3.4999999999999956,-5.296330218697356,0.25953208750799545,-5.036798131189361,0.00079630862760105,2,2,0,2
80,3.999999999999994,-5.149535568601863,0.11280846792190898,-5.036727100679954,0.000867339137007761,2,2,0,2
90,4.499999999999992,-5.638787976524188,0.6019148166372293,-5.036873159886959,0.0007212799300031492,2,2,0,2
100,4.99999999999999,-6.550399208790931,1.5133008983862013,-5.03709831040473,0.0004961294122320936,2,2,0,2
110,5.4999999999999885,-7.503082352716373,2.465810223196103,-5.03727212952027,0.00032231029669205213,2,2,0,2
120,5.999999999999987,-8.052905699258584,3.0156399963639897,-5.037265702894595,0.0003287369223672343,2,2,0,2
130,6.499999999999985,-8.199167586348128,3.161561448114128,-5.0376061382340005,-1.1698417038630282e-05,2,2,0,2
140,6.999999999999983,-8.180283418418869,3.14296802865175,-5.037315389767119,0.00027905004984329906,2,2,0,3
150,7.499999999999981,-8.385073440312812,3.347541470251609,-5.037531970061203,6.246975575852076e-05,2,2,0,3
160,7.99999999999998,-8.509415108015267,3.471721613554634,-5.037693494460633,-9.905464367143679e-05,2,2,0,3
170,8.499999999999986,-8.385512191215106,3.348057240426966,-5.03745495078814,0.00013948902882177094,2,2,0,4
